Plot,Code,Dominant,Quarter,Dominant_Species,H,B,L,T,R,O,S,Comments,trt,Replication,year
206,O:D-C:4,1,C,O,46,10,0,0,0,0,0,,0,4,1
206,O:D-C:4,1,D,O,48,3,0,0,0,0,0,,0,4,1
207,L:D-E:4,1,A,L,45,22,1,0,0,0,0,,1,4,1
207,L:D-E:4,1,B,L,51,93,0,0,0,0,0,,1,4,1
207,L:D-E:4,1,C,L,18,118,0,2,1,2,0,,1,4,1
207,L:D-E:4,1,D,L,85,44,0,1,1,0,0,,1,4,1
208,O:D-L:5,1,A,O,28,42,1,0,0,40,3,,2,5,1
208,O:D-L:5,1,B,O,25,65,0,0,5,27,1,,2,5,1
208,O:D-L:5,1,C,O,40,48,0,1,3,22,0,,2,5,1
208,O:D-L:5,1,D,O,35,32,0,0,1,19,3,,2,5,1
209,H:M-C:5,0,A,H,57,,,,,,,,0,5,1
209,H:M-C:5,0,B,H,55,,,,,,,,0,5,1
209,H:M-C:5,0,C,H,38,,,,,,,,0,5,1
209,H:M-C:5,0,D,H,45,,,,,,,,0,5,1
210,S:M-L:3,0,A,S,,,,,,,6,,2,3,1
210,S:M-L:3,0,B,S,,,,,,,6,,2,3,1
210,S:M-L:3,0,C,S,,,,,,,11,,2,3,1
210,S:M-L:3,0,D,S,,,,,,,1,,2,3,1
